[2025-10-06 11:27:26,004 INFO test.py line 42 718950] => Loading config ...
[2025-10-06 11:27:26,004 INFO test.py line 49 718950] => Building model ...
[2025-10-06 11:27:26,167 INFO test.py line 64 718950] Num params: 44262570
[2025-10-06 11:27:26,269 INFO test.py line 84 718950] Loading weight at: /home/oem/Pycharm_Pytorch_Projects/PointTransformer/Pointcept-main/tools/exp/default/model/model_best(scannetv2_0.782).pth
[2025-10-06 11:27:26,547 INFO test.py line 98 718950] => Loaded weight '/home/oem/Pycharm_Pytorch_Projects/PointTransformer/Pointcept-main/tools/exp/default/model/model_best(scannetv2_0.782).pth' (epoch 1937)
[2025-10-06 11:27:26,548 INFO test.py line 54 718950] => Building test dataset & dataloader ...
[2025-10-06 11:27:26,549 INFO defaults.py line 69 718950] Totally 312 x 1 samples in val set.
[2025-10-06 11:27:26,549 INFO test.py line 378 718950] >>>>>>>>>>>>>>>> Start Evaluation >>>>>>>>>>>>>>>>
[2025-10-06 11:27:28,366 INFO test.py line 493 718950] Test: 1/312-scene0686_02, Batch: 0/117
[2025-10-06 11:27:28,436 INFO test.py line 493 718950] Test: 1/312-scene0686_02, Batch: 1/117
[2025-10-06 11:27:28,502 INFO test.py line 493 718950] Test: 1/312-scene0686_02, Batch: 2/117
[2025-10-06 11:27:28,572 INFO test.py line 493 718950] Test: 1/312-scene0686_02, Batch: 3/117
[2025-10-06 11:27:28,635 INFO test.py line 493 718950] Test: 1/312-scene0686_02, Batch: 4/117
[2025-10-06 11:27:28,697 INFO test.py line 493 718950] Test: 1/312-scene0686_02, Batch: 5/117
[2025-10-06 11:27:28,761 INFO test.py line 493 718950] Test: 1/312-scene0686_02, Batch: 6/117
[2025-10-06 11:27:28,885 INFO test.py line 493 718950] Test: 1/312-scene0686_02, Batch: 7/117
[2025-10-06 11:27:28,949 INFO test.py line 493 718950] Test: 1/312-scene0686_02, Batch: 8/117
[2025-10-06 11:27:29,121 INFO test.py line 493 718950] Test: 1/312-scene0686_02, Batch: 9/117
[2025-10-06 11:27:29,187 INFO test.py line 493 718950] Test: 1/312-scene0686_02, Batch: 10/117
[2025-10-06 11:27:29,315 INFO test.py line 493 718950] Test: 1/312-scene0686_02, Batch: 11/117
[2025-10-06 11:27:29,377 INFO test.py line 493 718950] Test: 1/312-scene0686_02, Batch: 12/117
[2025-10-06 11:27:29,549 INFO test.py line 493 718950] Test: 1/312-scene0686_02, Batch: 13/117
[2025-10-06 11:27:29,614 INFO test.py line 493 718950] Test: 1/312-scene0686_02, Batch: 14/117
[2025-10-06 11:27:29,756 INFO test.py line 493 718950] Test: 1/312-scene0686_02, Batch: 15/117
[2025-10-06 11:27:29,820 INFO test.py line 493 718950] Test: 1/312-scene0686_02, Batch: 16/117
[2025-10-06 11:27:29,981 INFO test.py line 493 718950] Test: 1/312-scene0686_02, Batch: 17/117
[2025-10-06 11:27:30,051 INFO test.py line 493 718950] Test: 1/312-scene0686_02, Batch: 18/117
[2025-10-06 11:27:30,183 INFO test.py line 493 718950] Test: 1/312-scene0686_02, Batch: 19/117
[2025-10-06 11:27:30,253 INFO test.py line 493 718950] Test: 1/312-scene0686_02, Batch: 20/117
[2025-10-06 11:27:30,391 INFO test.py line 493 718950] Test: 1/312-scene0686_02, Batch: 21/117
[2025-10-06 11:27:30,466 INFO test.py line 493 718950] Test: 1/312-scene0686_02, Batch: 22/117
[2025-10-06 11:27:30,600 INFO test.py line 493 718950] Test: 1/312-scene0686_02, Batch: 23/117
[2025-10-06 11:27:30,673 INFO test.py line 493 718950] Test: 1/312-scene0686_02, Batch: 24/117
[2025-10-06 11:27:30,809 INFO test.py line 493 718950] Test: 1/312-scene0686_02, Batch: 25/117
